userid	stay_id	checkintime	leaving_datetime	dwell_minutes	longitude	latitude	cluster	venueid	venuetype	x	y	home_distance_m	context_type	context_level	context_label	context_confidence	context_source	kakao_place_id	kakao_place_name	kakao_category_code	kakao_category_group_name	kakao_category_name	kakao_phone	kakao_place_url	poi_distance_m	address	road_address	region_1depth_name	region_2depth_name	region_3depth_name	candidate_count	api_error_count	best_score	second_score	score_margin	classifier_version	processed_at_utc	venuetype_original
1	1_stay_0001	2026-07-30 10:42:31.155000+09:00	2026-07-30 19:51:54+09:00	549.38075	127.0762153914772	37.62654255298573	1	1001	거주지	962604.863775927	1958649.8696692763	33.784	HOME	home	거주지	1.0	hardcoded_home_address														0	0				kakao-rule-v1.0	2026-08-04T08:03:45.354846+00:00	unknown
1	1_stay_0002	2026-07-30 20:19:51.500000+09:00	2026-07-31 12:45:45.001000+09:00	985.8916833333332	127.0762270351213	37.62646745559719	1	1001	거주지	962605.8536038558	1958641.5332894088	33.784	HOME	home	거주지	1.0	hardcoded_home_address														0	0				kakao-rule-v1.0	2026-08-04T08:03:45.354846+00:00	unknown
1	1_stay_0003	2026-07-31 13:43:44.517000+09:00	2026-07-31 15:43:38.971000+09:00	119.90756666666668	127.02713313775736	37.498514891363925	4	1004	병원	958202.3111984074	1944466.5569092147	14897.887	CATEGORY	category	병원	0.534226	kakao_category_aggregation	403206403	제로원성형외과의원	HP8	병원	의료,건강 > 병원 > 성형외과	02-532-2300	http://place.map.kakao.com/403206403	24.0	서울 서초구 서초동 1318-4	서울 서초구 강남대로 403				40	0	0.720936	0.693442	0.027494	kakao-rule-v1.0	2026-08-04T08:03:45.396202+00:00	unknown
1	1_stay_0004	2026-07-31 16:53:07.786000+09:00	2026-08-02 15:19:03.001000+09:00	2785.92025	127.0762501934452	37.62643032232351	1	1001	거주지	962607.8785247745	1958637.404281076	33.784	HOME	home	거주지	1.0	hardcoded_home_address														0	0				kakao-rule-v1.0	2026-08-04T08:03:45.354846+00:00	unknown
1	1_stay_0005	2026-08-02 16:32:36.500000+09:00	2026-08-02 18:27:16.999000+09:00	114.67498333333332	126.98407236946277	37.51723810569162	3	1003	주차	954407.4432790474	1946563.7783240688	14631.503	CATEGORY	category	주차	0.129441	kakao_category_aggregation	517730385	동작대교공영주차장	PK6	주차장	교통,수송 > 교통시설 > 주차장 > 공영주차장		http://place.map.kakao.com/517730385	100.0	서울 용산구 용산동6가 69-11					2	0	0.159518	0.146412	0.013106	kakao-rule-v1.0	2026-08-04T08:03:45.378131+00:00	unknown
1	1_stay_0006	2026-08-02 19:34:50.001000+09:00	2026-08-03 17:53:33.502000+09:00	1338.7250166666668	127.07618782934776	37.62637871619573	1	1001	거주지	962602.3495703116	1958631.7036477935	33.784	HOME	home	거주지	1.0	hardcoded_home_address														0	0				kakao-rule-v1.0	2026-08-04T08:03:45.354846+00:00	unknown
1	1_stay_0007	2026-08-03 17:54:18.501000+09:00	2026-08-03 19:11:51+09:00	77.54164999999999	127.07557563582776	37.62591751719432	2	1002	식사	962548.097282824	1958580.779688104	103.73	POI	exact_poi	식사	0.505588	kakao_category_search	1076582172	칸텐	FD6	음식점	음식점 > 간식 > 제과,베이커리	070-8866-1023	http://place.map.kakao.com/1076582172	22.0	서울 노원구 공릉동 503-2	서울 노원구 동일로186길 53-50				16	0	0.612291	0.556522	0.055769	kakao-rule-v1.0	2026-08-04T08:03:45.376135+00:00	unknown
2	2_stay_0001	2026-07-30 10:26:02+09:00	2026-07-31 00:50:14+09:00	864.2	127.0783066629935	37.62270976956968	2	2002	거주지	962787.4896646758	1958223.807334528	3.379	HOME	home	거주지	1.0	hardcoded_home_address														0	0				kakao-rule-v1.0	2026-08-04T08:03:45.426075+00:00	unknown
2	2_stay_0002	2026-07-31 01:47:07+09:00	2026-07-31 04:12:40+09:00	145.55	127.0782806080343	37.62273367180186	2	2002	거주지	962785.2023384484	1958226.4695159232	3.379	HOME	home	거주지	1.0	hardcoded_home_address														0	0				kakao-rule-v1.0	2026-08-04T08:03:45.426075+00:00	unknown
2	2_stay_0003	2026-07-31 19:23:50+09:00	2026-07-31 20:01:39+09:00	37.81666666666667	127.0195799882324	37.60980228646182	4	2004	카페	957597.7704254488	1956816.6818419225	5370.669	CATEGORY	category	카페	0.59117	kakao_category_aggregation	348975489	테라커피 길음뉴타운점	CE7	카페	음식점 > 카페 > 커피전문점 > 테라커피	0507-1406-0889	http://place.map.kakao.com/348975489	8.0	서울 성북구 길음동 1285	서울 성북구 길음로13길 22				26	0	0.804786	0.777339	0.027447	kakao-rule-v1.0	2026-08-04T08:03:45.451497+00:00	unknown
