userid	cluster	venueid	longitude	latitude	x	y	visit_count	total_dwell_minutes	first_visit	last_visit	home_distance_m	context_type	context_level	context_label	context_confidence	context_source	kakao_place_id	kakao_place_name	kakao_category_code	kakao_category_group_name	kakao_category_name	kakao_phone	kakao_place_url	poi_distance_m	address	road_address	region_1depth_name	region_2depth_name	region_3depth_name	candidate_count	api_error_count	best_score	second_score	score_margin	classifier_version	processed_at_utc
1	1	1001	127.07622121329923	37.62644888896035	962605.3586898914	1958639.4687852424	4	5659.9177	2026-07-30 10:42:31.155000+09:00	2026-08-02 19:34:50.001000+09:00	33.784	HOME	home	거주지	1.0	hardcoded_home_address														0	0				kakao-rule-v1.0	2026-08-04T08:03:45.354846+00:00
1	2	1002	127.07557563582776	37.62591751719432	962548.097282824	1958580.779688104	1	77.54164999999999	2026-08-03 17:54:18.501000+09:00	2026-08-03 17:54:18.501000+09:00	103.73	POI	exact_poi	식사	0.505588	kakao_category_search	1076582172	칸텐	FD6	음식점	음식점 > 간식 > 제과,베이커리	070-8866-1023	http://place.map.kakao.com/1076582172	22.0	서울 노원구 공릉동 503-2	서울 노원구 동일로186길 53-50				16	0	0.612291	0.556522	0.055769	kakao-rule-v1.0	2026-08-04T08:03:45.376135+00:00
1	3	1003	126.98407236946277	37.51723810569162	954407.4432790474	1946563.7783240688	1	114.67498333333332	2026-08-02 16:32:36.500000+09:00	2026-08-02 16:32:36.500000+09:00	14631.503	CATEGORY	category	주차	0.129441	kakao_category_aggregation	517730385	동작대교공영주차장	PK6	주차장	교통,수송 > 교통시설 > 주차장 > 공영주차장		http://place.map.kakao.com/517730385	100.0	서울 용산구 용산동6가 69-11					2	0	0.159518	0.146412	0.013106	kakao-rule-v1.0	2026-08-04T08:03:45.378131+00:00
1	4	1004	127.02713313775736	37.498514891363925	958202.3111984074	1944466.5569092147	1	119.90756666666668	2026-07-31 13:43:44.517000+09:00	2026-07-31 13:43:44.517000+09:00	14897.887	CATEGORY	category	병원	0.534226	kakao_category_aggregation	403206403	제로원성형외과의원	HP8	병원	의료,건강 > 병원 > 성형외과	02-532-2300	http://place.map.kakao.com/403206403	24.0	서울 서초구 서초동 1318-4	서울 서초구 강남대로 403				40	0	0.720936	0.693442	0.027494	kakao-rule-v1.0	2026-08-04T08:03:45.396202+00:00
2	1	2001	126.70561207378135	37.52705741431945	929808.637961934	1947824.546822989	6	654.1833333333334	2026-08-01 10:13:56+09:00	2026-08-02 18:27:15+09:00	34526.851	POI	exact_poi	카페	0.912358	kakao_category_search	16483069	커피밀	CE7	카페	음식점 > 카페		http://place.map.kakao.com/16483069	6.0	인천 계양구 효성동 499-1	인천 계양구 마장로 546				16	0	0.871115	0.560824	0.310291	kakao-rule-v1.0	2026-08-04T08:03:45.425076+00:00
2	2	2002	127.0782936355139	37.622721720685774	962786.346001562	1958225.1384252252	2	1009.75	2026-07-30 10:26:02+09:00	2026-07-31 01:47:07+09:00	3.379	HOME	home	거주지	1.0	hardcoded_home_address														0	0				kakao-rule-v1.0	2026-08-04T08:03:45.426075+00:00
2	3	2003	126.62435766018405	37.526751187223056	922628.7441958472	1947854.3266656136	1	864.0166666666667	2026-08-01 19:53:14+09:00	2026-08-01 19:53:14+09:00	41406.949	CATEGORY	category	교육	0.466431	kakao_category_aggregation	1427545976	플레이팩토 수놀수학	AC5	학원	교육,학문 > 학원 > 수학학원	010-6259-2604	http://place.map.kakao.com/1427545976	20.0	인천 서해구 청라동 102-10	인천 서해구 비즈니스로28번길 13				6	0	0.527544	0.398208	0.129336	kakao-rule-v1.0	2026-08-04T08:03:45.432050+00:00
2	4	2004	127.0195799882324	37.60980228646182	957597.7704254488	1956816.6818419225	1	37.81666666666667	2026-07-31 19:23:50+09:00	2026-07-31 19:23:50+09:00	5370.669	CATEGORY	category	카페	0.59117	kakao_category_aggregation	348975489	테라커피 길음뉴타운점	CE7	카페	음식점 > 카페 > 커피전문점 > 테라커피	0507-1406-0889	http://place.map.kakao.com/348975489	8.0	서울 성북구 길음동 1285	서울 성북구 길음로13길 22				26	0	0.804786	0.777339	0.027447	kakao-rule-v1.0	2026-08-04T08:03:45.451497+00:00
3	1	3001	127.10538413352216	36.8211929521231	964806.5077497528	1869294.637801216	2	136.7619	2026-07-30 20:08:36.026000+09:00	2026-07-30 21:21:04+09:00	96.44	HOME	home	거주지	1.0	hardcoded_home_address														0	0				kakao-rule-v1.0	2026-08-04T08:03:45.451497+00:00
3	2	3002	127.10684035775118	36.82052274709248	964936.0747421423	1869219.756429633	2	548.0067666666666	2026-07-30 12:49:03.501000+09:00	2026-07-31 20:14:37.999000+09:00	214.808	CATEGORY	category	카페	0.318058	kakao_category_aggregation	1714102933	커피유	CE7	카페	음식점 > 카페	010-2064-0254	http://place.map.kakao.com/1714102933	39.0	충남 천안시 서북구 불당동 1498	충남 천안시 서북구 불당24로 38				6	0	0.424077	0.360989	0.063088	kakao-rule-v1.0	2026-08-04T08:03:45.457557+00:00
