userid	checkintime	venueid	venuetype	x	y	context_type	context_level	context_confidence	kakao_place_id	kakao_category_code
1	2026-07-30 10:42:31.155000+09:00	1001	거주지	962604.863775927	1958649.8696692763	HOME	home	1.0		
1	2026-07-30 20:19:51.500000+09:00	1001	거주지	962605.8536038558	1958641.5332894088	HOME	home	1.0		
1	2026-07-31 13:43:44.517000+09:00	1004	병원	958202.3111984074	1944466.5569092147	CATEGORY	category	0.534226	403206403	HP8
1	2026-07-31 16:53:07.786000+09:00	1001	거주지	962607.8785247745	1958637.404281076	HOME	home	1.0		
1	2026-08-02 16:32:36.500000+09:00	1003	주차	954407.4432790474	1946563.7783240688	CATEGORY	category	0.129441	517730385	PK6
1	2026-08-02 19:34:50.001000+09:00	1001	거주지	962602.3495703116	1958631.7036477935	HOME	home	1.0		
1	2026-08-03 17:54:18.501000+09:00	1002	식사	962548.097282824	1958580.779688104	POI	exact_poi	0.505588	1076582172	FD6
2	2026-07-30 10:26:02+09:00	2002	거주지	962787.4896646758	1958223.807334528	HOME	home	1.0		
2	2026-07-31 01:47:07+09:00	2002	거주지	962785.2023384484	1958226.4695159232	HOME	home	1.0		
2	2026-07-31 19:23:50+09:00	2004	카페	957597.7704254488	1956816.6818419225	CATEGORY	category	0.59117	348975489	CE7
2	2026-08-01 10:13:56+09:00	2001	카페	929792.1333100687	1947837.1895148293	POI	exact_poi	0.912358	16483069	CE7
2	2026-08-01 13:40:56+09:00	2001	카페	929823.4382842398	1947817.2133808811	POI	exact_poi	0.912358	16483069	CE7
2	2026-08-01 15:48:47+09:00	2001	카페	929810.362190001	1947822.6498731405	POI	exact_poi	0.912358	16483069	CE7
2	2026-08-01 19:53:14+09:00	2003	교육	922628.7441958472	1947854.3266656136	CATEGORY	category	0.466431	1427545976	AC5
2	2026-08-02 11:24:19+09:00	2001	카페	929810.241408241	1947826.4437728375	POI	exact_poi	0.912358	16483069	CE7
2	2026-08-02 15:42:08+09:00	2001	카페	929803.3782420402	1947848.961241857	POI	exact_poi	0.912358	16483069	CE7
2	2026-08-02 18:27:15+09:00	2001	카페	929807.034515627	1947796.0049494847	POI	exact_poi	0.912358	16483069	CE7
3	2026-07-30 10:31:12+09:00	3006	보육·유아교육	964864.9253616396	1869237.481153089	CATEGORY	category	0.250285	759296808	PS3
