userid	checkintime	venueid	venuetype	x	y
1	2026-07-30 10:42:31.155000+09:00	1_venue_001	unknown	962604.863775927	1958649.8696692765
1	2026-07-30 20:19:51.500000+09:00	1_venue_001	unknown	962605.8536038558	1958641.5332894092
1	2026-07-31 13:43:44.517000+09:00	1_venue_004	unknown	958202.3111984074	1944466.5569092147
1	2026-07-31 16:53:07.786000+09:00	1_venue_001	unknown	962607.8785247743	1958637.4042810758
1	2026-08-02 16:32:36.500000+09:00	1_venue_003	unknown	954407.4432790474	1946563.7783240692
1	2026-08-02 19:34:50.001000+09:00	1_venue_001	unknown	962602.3495703117	1958631.7036477937
1	2026-08-03 17:54:18.501000+09:00	1_venue_002	unknown	962548.0972828239	1958580.779688104
2	2026-07-30 10:26:02+09:00	2_venue_002	unknown	962787.4896646758	1958223.8073345276
2	2026-07-31 01:47:07+09:00	2_venue_002	unknown	962785.2023384484	1958226.4695159232
2	2026-07-31 19:23:50+09:00	2_venue_004	unknown	957597.7704254489	1956816.6818419225
2	2026-08-01 10:13:56+09:00	2_venue_001	unknown	929792.1333100689	1947837.1895148295
2	2026-08-01 13:40:56+09:00	2_venue_001	unknown	929823.4382842398	1947817.2133808814
2	2026-08-01 15:48:47+09:00	2_venue_001	unknown	929810.362190001	1947822.6498731403
2	2026-08-01 19:53:14+09:00	2_venue_003	unknown	922628.7441958473	1947854.3266656138
2	2026-08-02 11:24:19+09:00	2_venue_001	unknown	929810.241408241	1947826.4437728378
2	2026-08-02 15:42:08+09:00	2_venue_001	unknown	929803.3782420402	1947848.9612418571
2	2026-08-02 18:27:15+09:00	2_venue_001	unknown	929807.034515627	1947796.0049494847
3	2026-07-30 10:31:12+09:00	3_venue_006	unknown	964864.9253616396	1869237.4811530893
3	2026-07-30 12:49:03.501000+09:00	3_venue_002	unknown	964934.6506883414	1869216.9250281597
3	2026-07-30 20:08:36.026000+09:00	3_venue_001	unknown	964807.625516989	1869293.8511357948
3	2026-07-30 21:21:04+09:00	3_venue_001	unknown	964805.3899825165	1869295.4244666374
3	2026-07-31 19:08:22.001000+09:00	3_venue_005	unknown	965194.1001194302	1869144.1140823248
3	2026-07-31 20:14:37.999000+09:00	3_venue_002	unknown	964937.4987959433	1869222.5878311065
3	2026-08-03 12:54:05.472000+09:00	3_venue_004	unknown	964972.1714752925	1867094.146262643
3	2026-08-03 13:42:43.500000+09:00	3_venue_003	unknown	964935.2208170402	1867038.9884279487
4	2026-07-29 01:14:57.827000+09:00	4_venue_003	unknown	962544.1497175645	1958269.8674414589
4	2026-07-29 09:36:19+09:00	4_venue_002	unknown	962879.7921011376	1959288.8271926048
4	2026-07-29 13:16:36+09:00	4_venue_010	unknown	962015.1524161346	1958952.4066438475
4	2026-07-29 18:17:51+09:00	4_venue_009	unknown	962584.0608005442	1959085.1325624927
4	2026-07-29 19:23:56+09:00	4_venue_002	unknown	962869.2352223363	1959335.8888337743
4	2026-07-29 23:14:06+09:00	4_venue_003	unknown	962539.646822816	1958262.352325919
4	2026-07-30 09:33:41.500000+09:00	4_venue_008	unknown	962553.0082450596	1958998.5191794403
4	2026-07-30 12:04:46+09:00	4_venue_001	unknown	962724.4301578475	1958708.9726497
4	2026-07-30 13:59:13+09:00	4_venue_002	unknown	962863.2211473475	1959325.8054708599
4	2026-07-30 15:28:29+09:00	4_venue_002	unknown	962877.1875996427	1959295.0995612778
4	2026-07-30 18:31:45.500000+09:00	4_venue_001	unknown	962746.5350117327	1958667.9322109607
4	2026-07-31 13:21:10+09:00	4_venue_007	unknown	962929.5731701149	1959305.6169959821
4	2026-07-31 15:19:11+09:00	4_venue_002	unknown	962873.5040383096	1959283.658784258
4	2026-07-31 17:01:05.501000+09:00	4_venue_006	unknown	961279.6678010796	1961484.6593945976
4	2026-07-31 18:52:36+09:00	4_venue_003	unknown	962534.156976437	1958262.7489872556
4	2026-07-31 22:24:14.500000+09:00	4_venue_001	unknown	962754.6854912565	1958667.9128637325
4	2026-08-01 17:05:04+09:00	4_venue_005	unknown	961941.8978782992	1960095.4312199347
4	2026-08-01 19:53:26.500000+09:00	4_venue_004	unknown	962731.5122474565	1957480.3798763899
4	2026-08-01 21:41:01.500000+09:00	4_venue_001	unknown	962708.5112375836	1958758.6631976892
4	2026-08-01 22:27:20+09:00	4_venue_003	unknown	962530.5358432797	1958255.3045643822
4	2026-08-02 16:11:15.500000+09:00	4_venue_001	unknown	962741.2724991055	1958725.9429087967
4	2026-08-03 13:53:38.011000+09:00	4_venue_002	unknown	962866.2290389924	1959297.839483695
4	2026-08-03 18:16:16.500000+09:00	4_venue_001	unknown	962739.4612475848	1958710.7065768763
