userid	cluster	venueid	longitude	latitude	x	y	visit_count	total_dwell_minutes	first_visit	last_visit
1	1	1_venue_001	127.07622121329925	37.62644888896035	962605.3586898914	1958639.4687852426	4	5659.9177	2026-07-30 10:42:31.155000+09:00	2026-08-02 19:34:50.001000+09:00
1	2	1_venue_002	127.07557563582775	37.625917517194324	962548.0972828239	1958580.779688104	1	77.54164999999999	2026-08-03 17:54:18.501000+09:00	2026-08-03 17:54:18.501000+09:00
1	3	1_venue_003	126.98407236946275	37.51723810569162	954407.4432790474	1946563.7783240692	1	114.67498333333333	2026-08-02 16:32:36.500000+09:00	2026-08-02 16:32:36.500000+09:00
1	4	1_venue_004	127.02713313775735	37.498514891363925	958202.3111984074	1944466.5569092147	1	119.90756666666667	2026-07-31 13:43:44.517000+09:00	2026-07-31 13:43:44.517000+09:00
2	1	2_venue_001	126.70561207378137	37.52705741431945	929808.637961934	1947824.546822989	6	654.1833333333334	2026-08-01 10:13:56+09:00	2026-08-02 18:27:15+09:00
2	2	2_venue_002	127.0782936355139	37.622721720685774	962786.3460015621	1958225.1384252254	2	1009.75	2026-07-30 10:26:02+09:00	2026-07-31 01:47:07+09:00
2	3	2_venue_003	126.62435766018405	37.526751187223056	922628.7441958473	1947854.3266656138	1	864.0166666666667	2026-08-01 19:53:14+09:00	2026-08-01 19:53:14+09:00
2	4	2_venue_004	127.0195799882324	37.60980228646182	957597.7704254489	1956816.6818419225	1	37.81666666666667	2026-07-31 19:23:50+09:00	2026-07-31 19:23:50+09:00
3	1	3_venue_001	127.10538413352215	36.8211929521231	964806.5077497528	1869294.637801216	2	136.7619	2026-07-30 20:08:36.026000+09:00	2026-07-30 21:21:04+09:00
3	2	3_venue_002	127.10684035775118	36.820522747092475	964936.0747421423	1869219.7564296331	2	548.0067666666666	2026-07-30 12:49:03.501000+09:00	2026-07-31 20:14:37.999000+09:00
3	3	3_venue_003	127.1069312941742	36.80086417161577	964935.2208170402	1867038.9884279487	1	133.89103333333335	2026-08-03 13:42:43.500000+09:00	2026-08-03 13:42:43.500000+09:00
3	4	3_venue_004	127.10734295601824	36.801362761190816	964972.1714752925	1867094.146262643	1	47.77546666666667	2026-08-03 12:54:05.472000+09:00	2026-08-03 12:54:05.472000+09:00
3	5	3_venue_005	127.1097369079352	36.81985039996897	965194.1001194302	1869144.1140823248	1	61.8333	2026-07-31 19:08:22.001000+09:00	2026-07-31 19:08:22.001000+09:00
3	6	3_venue_006	127.1060417825396	36.82067988609058	964864.9253616396	1869237.4811530893	1	100.28333333333333	2026-07-30 10:31:12+09:00	2026-07-30 10:31:12+09:00
4	1	4_venue_001	127.0777474669122	37.62708823925252	962740.3668733451	1958709.8396132882	6	3764.670783333333	2026-07-30 12:04:46+09:00	2026-08-03 18:16:16.500000+09:00
4	2	4_venue_002	127.07920199036955	37.632381324929526	962871.3696303229	1959296.4695224864	6	934.5935666666667	2026-07-29 09:36:19+09:00	2026-08-03 13:53:38.011000+09:00
4	3	4_venue_003	127.0754650799233	37.6230487899263	962536.9018996265	1958262.5506565874	4	2336.7719333333334	2026-07-29 01:14:57.827000+09:00	2026-08-01 22:27:20+09:00
4	4	4_venue_004	127.0777102423088	37.6160068119341	962731.5122474565	1957480.3798763899	1	70.20833333333333	2026-08-01 19:53:26.500000+09:00	2026-08-01 19:53:26.500000+09:00
4	5	4_venue_005	127.0686271391398	37.63954447594891	961941.8978782992	1960095.4312199347	1	131.22683333333333	2026-08-01 17:05:04+09:00	2026-08-01 17:05:04+09:00
4	6	4_venue_006	127.0610475543107	37.65203815453116	961279.6678010796	1961484.6593945976	1	56.39998333333333	2026-07-31 17:01:05.501000+09:00	2026-07-31 17:01:05.501000+09:00
4	7	4_venue_007	127.0798618359913	37.63246611016584	962929.5731701149	1959305.6169959821	1	118.01666666666667	2026-07-31 13:21:10+09:00	2026-07-31 13:21:10+09:00
4	8	4_venue_008	127.0756098798859	37.62968289664312	962553.0082450596	1958998.5191794403	1	144.05	2026-07-30 09:33:41.500000+09:00	2026-07-30 09:33:41.500000+09:00
4	9	4_venue_009	127.07595735690595	37.630464827371185	962584.0608005442	1959085.1325624927	1	43.46666666666667	2026-07-29 18:17:51+09:00	2026-07-29 18:17:51+09:00
4	10	4_venue_010	127.0695168654153	37.62924519298254	962015.1524161346	1958952.4066438475	1	290.01666666666665	2026-07-29 13:16:36+09:00	2026-07-29 13:16:36+09:00
