external_id,name,address,latitude,longitude
SRC01_A0004,홍파양로원,서울특별시 노원구 동일로248길 1266 번지,,
SRC01_A1372,중계데이케어센터,"서울특별시 노원구 덕릉로 662, 1,2층 (중계동, 중계3단지주공영구임대아파트)",,
SRC01_A7094,서울시 노원구 재가노인복지기관,서울특별시 노원구 상계로23길 원터행복발전소 3 층,,
SRC01_C0000008704,아름다운 작업활동센터,서울특별시 노원구 공릉동 480,,
SRC01_C0000008760,노원구 보육정보센터,서울특별시 노원구 상계동 205,,
SRC01_C0297770805,당고개 데이케어센터,"서울특별시 노원구 덕릉로126길 11, 2,4층 (상계동, 당고개 빌딩)",,
SRC01_C0298531090,쉰들러 긴급이동 사회복지센터,서울특별시 노원구 중계로6나길 12-10 (중계동),,
SRC01_C0609695163,동행노인복지센터,"서울특별시 노원구 덕릉로 583, 1,2층 (중계동)",,
SRC01_C0609752144,가온데이케어센터,"서울특별시 노원구 상계로9길 23, 4,5층 (상계동, 사용빌딩)",,
SRC01_C2068,다복스위트홈,"서울특별시 노원구 상계로5길 22-9, 402 (상계동)",,
SRC01_C8377,내일을꿈꾸는사람들2호,"서울특별시 노원구 동일로237다길 37, 201,301호 (상계동, 풀내음파크빌)",,
SRC01_F04401,선한이웃재활운동발달센터,"서울특별시 노원구 공릉로58길 112301호 (하계동, 순흥빌라트)",,
SRC01_F04402,킨더윌언어심리전문센터,"서울특별시 노원구 상계로23다길 13-8107호 (상계동, 노원 아이파크)",,
SRC01_F04699,삼정학교지역아동센터,"서울특별시 노원구 동일로215길 481층 (상계동, 상계주공3단지아파트)",,
SRC01_F04757,구립노원청소년지역아동센터,서울특별시 노원구 덕릉로86길 52층 (중계동),,
SRC01_G3646,러빙케어,"서울특별시 노원구 상계로1길 54-4, 207, 307호 (상계동, 상계동센트럴타워)",,
SRC01_J0497,서울실버케어노인요양원,"서울특별시 노원구 한글비석로44길 31, 2,3,4층 (상계동)",,
SRC01_K0776,은빛1단지아이휴센터,서울특별시 노원구 동일로245길 은빛아파트 109 동 108 호,,
