id,institution_code,name,institution_type,address,phone,latitude,longitude
1,34,시일 건강타운,GENERAL,북하면 백양로 445,061) 394-3210,35.426201813,126.846075121
2,33,샤론의집,GENERAL,함평군 나산면 함장로 2229,322-3363,35.105998241,126.593555239
3,32,무지개장애인주간보호센터,DISABILITY,함평군 학교면 학교화산길 16,323-7275,35.048804215,126.535457238
4,31,함평군장애인보호작업장,DISABILITY,함평군 함평읍 남일길 238-55,324-4201,35.075685819,126.512342741
5,30,무지개장애인근로사업장,DISABILITY,함평군 학교면 학교화산길 16,323-9301,35.048963,126.535828
6,29,무안노인 복지시설,ELDERLY,해제면 현해로  1452-8,061) 453-6078,35.105006,126.315362
7,28,활기찬노인 복지센터,ELDERLY,영광군 영광읍 천년로10길 11,061-351-3939,35.272898058,126.499131147
8,27,영광행복의집 재가노인복지센터,ELDERLY,영광군 백수읍 백수로 793-37,061-352-6300,35.283576665,126.397942529
9,26,행복한 노인복지센터,ELDERLY,영광군 영광읍 백산길 5-1(2층),061-351-3777,35.276526305,126.502613659
10,25,수애원재가 장기요양센터,ELDERLY,"영광군 백수읍 백수로 1087-7, 나동",061-352-4114,35.280436998,126.428219246
11,24,글라라 노인복지센터,ELDERLY,영광군 대마면 영장로10길 66,061-352-1182,35.318369849,126.601381123
12,23,영광원광 노인복지센터,ELDERLY,영광읍 물무로2길 35-6,061-352-8871,35.277696325,126.510413285
13,22,영광효사랑 노인복지센터,ELDERLY,법성면 연우로 830,061-350-3300,35.365913,126.442841
14,21,여민동락 노인복지센터,ELDERLY,묘량면 묘량로 285,061-353-1141,35.257790792,126.54366018
15,20,영광노인 복지센터,ELDERLY,영광읍 신남로 268,061-350-3512,35.27451207,126.510760781
16,19,홍농노인 복지센터,ELDERLY,홍농읍 동부로 75-8,061-356-0712,35.394202651,126.454576266
17,18,청람노인 복지센터,ELDERLY,영광읍 옥당로 233-16,061-352-3275,35.283582426,126.498969547
18,17,영광노인복지센터 노인요양 공동생활가정,ELDERLY,영광읍 신남로 268,061-350-3520,35.27451207,126.510760781
19,16,영광효사랑 노인복지센터,ELDERLY,법성면 연우로 830,061-350-3300,35.365913,126.442841
20,15,영광원광 노인복지센터,ELDERLY,영광읍 물무로2길 35-6,061-352-8871,35.277696325,126.510413285
21,14,이야기마을,GENERAL,묘량면 밀재로11길 2,061-351-2731,35.208022568,126.570699219
22,13,참사랑요양원,ELDERLY,영광읍 옥당로 54,061-351-7777,35.269116145,126.508253805
23,12,영광여산 실버복지센터,GENERAL,군남면 군불로 91-4,061-353-3844,35.237778091,126.454100866
24,11,감사의집,GENERAL,영광읍 함영로 9길 35-2,061-351-1532,35.25505042,126.507333742
25,10,사랑의집,GENERAL,홍농읍 진덕로 107,061-356-6457,35.41475738,126.456904842
26,9,복음의집,GENERAL,영광읍 옥당로 233-6,061-352-2355,35.283483129,126.499787631
27,8,영광노인전문요양원,ELDERLY,영광읍 영광로 1066,061-353-8760,35.269774643,126.491451665
28,7,비룡요양원,ELDERLY,영광읍 물무로 237-15,061-351-3474,35.268617347,126.516141072
29,6,보배로운집,GENERAL,군서면 복호로 147,061-351-0826,35.292209611,126.471257041
30,5,해뜨는 집,GENERAL,홍농읍 동부로 126-13,061-356-7212,35.390816652,126.459268727
31,4,하누리 장애인주간보호센터,DISABILITY,영광읍 덕호로 82-15,061-352-0804,35.310221026,126.483124289
32,3,홍농 장애인주간보호센터,DISABILITY,홍농읍 동부로 126-13,061-356-0420,35.390816652,126.459268727
33,2,영광사회복귀시설,GENERAL,영광읍 신남로 268,061-350-3540,35.27451207,126.510760781
34,1,새롬채,GENERAL,영광읍 신남로 264-4,061-350-3067,35.274651354,126.510215049
