table_name,column_name,constraint_type,referenced_table,referenced_column
audit_log_entries,id,PRIMARY KEY,null,null
buckets,id,PRIMARY KEY,null,null
buckets_analytics,id,PRIMARY KEY,null,null
custom_oauth_providers,id,PRIMARY KEY,null,null
facilities,id,PRIMARY KEY,facilities,id
flow_state,id,PRIMARY KEY,null,null
gps_records,subject_id,FOREIGN KEY,subjects,id
gps_records,id,PRIMARY KEY,gps_records,id
guardian_registrations,guardian_id,FOREIGN KEY,guardians,id
guardian_registrations,subject_id,FOREIGN KEY,subjects,id
guardian_registrations,guardian_id,PRIMARY KEY,guardian_registrations,subject_id
guardian_registrations,subject_id,PRIMARY KEY,guardian_registrations,guardian_id
guardian_registrations,subject_id,PRIMARY KEY,guardian_registrations,subject_id
guardian_registrations,guardian_id,PRIMARY KEY,guardian_registrations,guardian_id
guardians,id,PRIMARY KEY,guardians,id
identities,user_id,FOREIGN KEY,null,null
identities,id,PRIMARY KEY,null,null
instances,id,PRIMARY KEY,null,null
institution_managers,institution_id,FOREIGN KEY,institutions,id
institution_managers,id,PRIMARY KEY,institution_managers,id
institutions,id,PRIMARY KEY,institutions,id
manager_assignments,subject_id,FOREIGN KEY,subjects,id
manager_assignments,manager_id,FOREIGN KEY,institution_managers,id
manager_assignments,manager_id,PRIMARY KEY,manager_assignments,subject_id
manager_assignments,subject_id,PRIMARY KEY,manager_assignments,manager_id
manager_assignments,subject_id,PRIMARY KEY,manager_assignments,subject_id
manager_assignments,manager_id,PRIMARY KEY,manager_assignments,manager_id
messages,inserted_at,PRIMARY KEY,null,null
messages,id,PRIMARY KEY,null,null
mfa_amr_claims,session_id,FOREIGN KEY,null,null
mfa_amr_claims,id,PRIMARY KEY,null,null
mfa_challenges,factor_id,FOREIGN KEY,null,null
mfa_challenges,id,PRIMARY KEY,null,null
mfa_factors,user_id,FOREIGN KEY,null,null
mfa_factors,id,PRIMARY KEY,null,null
oauth_authorizations,user_id,FOREIGN KEY,null,null
oauth_authorizations,client_id,FOREIGN KEY,null,null
oauth_authorizations,id,PRIMARY KEY,null,null
oauth_client_states,id,PRIMARY KEY,null,null
oauth_clients,id,PRIMARY KEY,null,null
oauth_consents,client_id,FOREIGN KEY,null,null
oauth_consents,user_id,FOREIGN KEY,null,null
oauth_consents,id,PRIMARY KEY,null,null
objects,bucket_id,FOREIGN KEY,null,null
objects,id,PRIMARY KEY,null,null
one_time_tokens,user_id,FOREIGN KEY,null,null
one_time_tokens,id,PRIMARY KEY,null,null
refresh_tokens,session_id,FOREIGN KEY,null,null
refresh_tokens,id,PRIMARY KEY,null,null
s3_multipart_uploads,bucket_id,FOREIGN KEY,null,null
s3_multipart_uploads,id,PRIMARY KEY,null,null
s3_multipart_uploads_parts,upload_id,FOREIGN KEY,null,null
s3_multipart_uploads_parts,bucket_id,FOREIGN KEY,null,null
s3_multipart_uploads_parts,id,PRIMARY KEY,null,null
saml_providers,sso_provider_id,FOREIGN KEY,null,null
saml_providers,id,PRIMARY KEY,null,null
saml_relay_states,sso_provider_id,FOREIGN KEY,null,null
saml_relay_states,flow_state_id,FOREIGN KEY,null,null
saml_relay_states,id,PRIMARY KEY,null,null
schema_migrations,version,PRIMARY KEY,null,null
secrets,id,PRIMARY KEY,null,null
sessions,oauth_client_id,FOREIGN KEY,null,null
sessions,user_id,FOREIGN KEY,null,null
sessions,id,PRIMARY KEY,null,null
sso_domains,sso_provider_id,FOREIGN KEY,null,null
sso_domains,id,PRIMARY KEY,null,null
sso_providers,id,PRIMARY KEY,null,null
subject_guardians,subject_id,FOREIGN KEY,subjects,id
subject_guardians,guardian_id,FOREIGN KEY,guardians,id
subject_guardians,id,PRIMARY KEY,subject_guardians,id
subjects,institution_id,FOREIGN KEY,institutions,id
subjects,id,PRIMARY KEY,subjects,id
subscription,id,PRIMARY KEY,null,null
users,id,PRIMARY KEY,null,null
webauthn_challenges,user_id,FOREIGN KEY,null,null
webauthn_challenges,id,PRIMARY KEY,null,null
webauthn_credentials,user_id,FOREIGN KEY,null,null
webauthn_credentials,id,PRIMARY KEY,null,null
