id,institution_code,name,address
1,34,시일 건강타운,북하면 백양로 445
2,33,샤론의집,함평군 나산면 함장로 2229
3,32,무지개장애인주간보호센터,함평군 학교면 학교화산길 16
4,31,함평군장애인보호작업장,함평군 함평읍 남일길 238-55
5,30,무지개장애인근로사업장,함평군 학교면 학교화산길 16
6,29,무안노인 복지시설,해제면 현해로  1452-8
7,28,활기찬노인 복지센터,영광군 영광읍 천년로10길 11
8,27,영광행복의집 재가노인복지센터,영광군 백수읍 백수로 793-37
9,26,행복한 노인복지센터,영광군 영광읍 백산길 5-1(2층)
10,25,수애원재가 장기요양센터,"영광군 백수읍 백수로 1087-7, 나동"
11,24,글라라 노인복지센터,영광군 대마면 영장로10길 66
12,23,영광원광 노인복지센터,영광읍 물무로2길 35-6
13,22,영광효사랑 노인복지센터,법성면 연우로 830
14,21,여민동락 노인복지센터,묘량면 묘량로 285
15,20,영광노인 복지센터,영광읍 신남로 268
16,19,홍농노인 복지센터,홍농읍 동부로 75-8
17,18,청람노인 복지센터,영광읍 옥당로 233-16
18,17,영광노인복지센터 노인요양 공동생활가정,영광읍 신남로 268
19,16,영광효사랑 노인복지센터,법성면 연우로 830
20,15,영광원광 노인복지센터,영광읍 물무로2길 35-6
21,14,이야기마을,묘량면 밀재로11길 2
22,13,참사랑요양원,영광읍 옥당로 54
23,12,영광여산 실버복지센터,군남면 군불로 91-4
24,11,감사의집,영광읍 함영로 9길 35-2
25,10,사랑의집,홍농읍 진덕로 107
26,9,복음의집,영광읍 옥당로 233-6
27,8,영광노인전문요양원,영광읍 영광로 1066
28,7,비룡요양원,영광읍 물무로 237-15
29,6,보배로운집,군서면 복호로 147
30,5,해뜨는 집,홍농읍 동부로 126-13
31,4,하누리 장애인주간보호센터,영광읍 덕호로 82-15
32,3,홍농 장애인주간보호센터,홍농읍 동부로 126-13
33,2,영광사회복귀시설,영광읍 신남로 268
34,1,새롬채,영광읍 신남로 264-4
