gps_id,subject_id,latitude,longitude,measured_at,dayofweek
3,2,36.8205900973267,127.105747479076,2026-07-30 02:34:42.481615,null
4,2,36.8205900799417,127.105747475603,2026-07-30 02:36:18.04836,null
5,2,36.8208433991563,127.105718713789,2026-07-30 02:53:02.740095,null
6,2,36.8208700013404,127.105861769525,2026-07-31 01:02:29.809849,null
7,2,37.6280253937901,127.078137588596,2026-07-31 01:13:04.918814,null
8,2,37.6280253937901,127.078137588596,2026-07-31 01:15:40.008213,null
9,2,37.628062,127.078167,2026-07-31 01:42:49.073122,null
10,2,37.6280318895597,127.078142303032,2026-07-31 01:43:09.73711,null
11,2,37.6280253937901,127.078137588596,2026-07-31 01:43:23.797151,null
12,2,37.6280253937901,127.078137588596,2026-07-31 01:43:38.363449,null
13,2,35.1595,126.8526,2026-07-31 01:49:40.442078,null
14,2,35.1595,126.8526,2026-07-31 01:50:22.018652,null
15,2,36.8208562499682,127.105834740482,2026-07-31 01:52:38.754922,null
16,2,36.8208172995884,127.105714152684,2026-07-31 02:04:26.697809,null
23,3,35.2746,126.5102,2026-08-04 07:04:12.444081,null
46,3,37.6228154,127.0784072,2026-08-11 10:46:04.673964,day_1
47,3,37.6228132,127.0784176,2026-08-11 10:51:05.853972,day_1
48,3,37.6228119,127.0784189,2026-08-11 10:56:07.18829,day_1
49,3,37.6228205,127.078433,2026-08-11 11:01:08.718061,day_1
50,3,37.6228215,127.0784366,2026-08-11 11:06:09.989573,day_1
51,3,37.6228191,127.078434,2026-08-11 11:07:52.990666,day_1
52,3,37.6228102,127.0783942,2026-08-11 11:12:52.231948,day_1
53,3,37.6228126,127.0784032,2026-08-11 11:17:53.334187,day_1
54,3,37.6228126,127.0784032,2026-08-11 11:24:36.893934,day_1
55,3,37.6228265,127.0784418,2026-08-11 11:29:38.098577,day_1
56,3,37.6228173,127.0784476,2026-08-11 11:34:39.023329,day_1
57,3,37.6228109,127.0784152,2026-08-11 11:39:41.111011,day_1
58,3,37.6228111,127.078445,2026-08-11 11:44:42.455833,day_1
59,3,37.6228115,127.0784435,2026-08-11 11:49:44.963582,day_1
60,3,37.6228133,127.0784433,2026-08-11 11:54:46.334124,day_1
61,3,37.622814,127.0784362,2026-08-11 11:59:49.182775,day_1
62,3,37.6228145,127.0784414,2026-08-11 12:04:50.28432,day_1
63,3,37.622818,127.0784294,2026-08-11 12:09:52.379993,day_1
64,3,37.6228158,127.0784196,2026-08-11 12:14:54.049661,day_1
65,3,37.6228192,127.0784195,2026-08-11 12:19:55.625547,day_1
66,3,37.6228138,127.0784304,2026-08-11 12:24:56.289146,day_1
67,3,37.6228126,127.0784373,2026-08-11 12:29:57.456332,day_1
68,3,37.6228119,127.0784292,2026-08-11 12:34:58.989274,day_1
69,3,37.6228172,127.0784157,2026-08-11 12:40:00.371727,day_1
70,3,37.6228169,127.0783964,2026-08-11 12:45:02.879105,day_1
71,3,37.6228131,127.0784386,2026-08-11 12:50:04.530556,day_1
72,3,37.6228112,127.078424,2026-08-11 12:55:06.987075,day_1
73,3,37.622813,127.0784408,2026-08-11 13:00:08.561831,day_1
74,3,37.6228133,127.0784429,2026-08-11 13:05:10.967036,day_1
75,3,37.6228138,127.0784417,2026-08-11 13:10:12.278087,day_1
76,3,37.6228143,127.0784442,2026-08-11 13:19:12.917857,day_1
77,3,37.6228199,127.07844,2026-08-11 13:28:13.143726,day_1
78,3,37.6228205,127.0784275,2026-08-11 13:37:15.212296,day_1
79,3,37.6228274,127.0784531,2026-08-11 13:46:15.471593,day_1
80,3,37.6228239,127.0784541,2026-08-11 13:55:16.756905,day_1
81,3,37.6228277,127.0784513,2026-08-11 14:04:16.050134,day_1
82,3,37.6228286,127.0784521,2026-08-11 14:09:42.664115,day_1
83,3,37.6228186,127.0784108,2026-08-11 14:19:28.168263,day_1
84,3,37.6228187,127.0784165,2026-08-11 14:28:05.028136,day_1
85,3,37.622819,127.0784479,2026-08-11 14:33:06.145424,day_1
86,3,37.6228178,127.0784387,2026-08-11 14:42:07.74557,day_1
87,3,37.6228236,127.0784527,2026-08-11 14:51:08.318393,day_1
88,3,37.6228249,127.0784528,2026-08-11 15:00:08.67886,day_1
89,3,37.6228231,127.0784486,2026-08-11 15:09:08.958589,day_1
90,3,37.6228286,127.0784421,2026-08-11 15:18:10.584019,day_1
91,3,37.6228167,127.0784388,2026-08-11 15:27:10.905392,day_1
92,3,37.6228165,127.078439,2026-08-11 15:36:12.096291,day_1
93,3,37.6228196,127.078445,2026-08-11 15:45:12.077673,day_1
94,3,37.6228253,127.0784548,2026-08-11 15:54:13.746994,day_1
95,3,37.6227926,127.0783991,2026-08-11 16:03:13.960179,day_1
96,3,37.6227849,127.0784105,2026-08-11 16:12:15.614308,day_1
97,3,37.6228136,127.0784447,2026-08-11 16:21:15.849791,day_1
98,3,37.6228093,127.0784343,2026-08-11 16:30:16.627939,day_1
99,3,37.6228133,127.0784431,2026-08-11 16:39:18.382737,day_1
