"시설명","시설코드","시설종류명(시설유형)","시설종류상세명(시설종류)","자치구(시)구분","시설장명","시군구코드","시군구명","시설주소","정원(수용인원)","현인원","전화번호","우편번호"
"홍파양로원","A0004","(노인주거복지시설) 양로시설","노인주거복지시설","자치구","김우리","1135000000","노원구","서울특별시 노원구 동일로248길 1266 번지","","","",""
"영기노인요양원","A0131","(노인의료복지시설) 노인요양시설","노인의료복지시설","자치구","김원제","1135000000","노원구","서울특별시 노원구 동일로248길 30 (상계동)","","","",""
"시립중계노인전문요양원","A0974","(노인의료복지시설) 노인요양시설","노인의료복지시설","자치구","이희근","1135000000","노원구","서울특별시 노원구 섬밭로 313 (중계동, 시립중계노인전문요양원)","","","",""
"중계데이케어센터","A1372","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","윤은경","1135000000","노원구","서울특별시 노원구 덕릉로 662, 1,2층 (중계동, 중계3단지주공영구임대아파트)","","","",""
"상계데이케어센터","A1434","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","신혜선","1135000000","노원구","서울특별시 노원구 덕릉로115나길 25 (상계동)","","","",""
"구립하계실버센터","A1703","(노인의료복지시설) 노인요양시설","노인의료복지시설","자치구","윤양식","1135000000","노원구","서울특별시 노원구 한글비석로 4 (하계동)","","","",""
"노원1치매데이케어센터","A2104","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","김윤희","1135000000","노원구","서울특별시 노원구 월계로 372, 1층 (월계동, 사슴아파트1단지 노원1종합사회복지관)","","","",""
"시립노원노인종합복지관","A2739","(노인여가복지시설) 노인복지관","노인여가복지시설","자치구","박지은","1135000000","노원구","서울특별시 노원구 노원로16길 15 (하계동, 시립노원노인종합복지관)","","","",""
"평화실버하우스","A3632","(장기요양시설) 장기요양기관","장기요양시설","자치구","","1135000000","노원구","서울특별시 노원구 중계로14길 32, 2층 (중계동)","","","",""
"다운복지관","A5242","(장애인지역사회재활시설) 장애인복지관","장애인지역사회재활시설","자치구","신명진","1135000000","노원구","서울특별시 노원구 화랑로 478 (공릉동)","","","",""
"공릉노인복지관","A7040","(노인여가복지시설) 노인복지관","노인여가복지시설","자치구","김민경","1135000000","노원구","서울특별시 노원구 공릉로 129 (공릉동)","","","",""
"서울시 노원구 재가노인복지기관","A7094","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","윤기영","1135000000","노원구","서울특별시 노원구 상계로23길 원터행복발전소 3 층","","","",""
"참조은재가복지센타","A7362","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","김복자","1135000000","노원구","서울특별시 노원구 월계로55길 3 (월계동, 사슴아파트3단지 상가 202호)","","","",""
"수요양원","A7625","(노인의료복지시설) 노인요양공동생활가정","노인의료복지시설","자치구","최진","1135000000","노원구","서울특별시 노원구 동일로237다길 16, 3층 (상계동)","","","",""
"성민재가장기요양센터","A7679","(장기요양시설) 장기요양기관","장기요양시설","자치구","","1135000000","노원구","서울특별시 노원구 노원로 440 (상계동, 비전센터 4층)","","","",""
"평화행복한데이케어센터","A7770","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","박찬미","1135000000","노원구","서울특별시 노원구 노원로 331 (중계동)","","","",""
"시립중계노인전문요양원병설데이케어센터","A7837","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","이희근","1135000000","노원구","서울특별시 노원구 섬밭로 313, 1층 (중계동, 시립중계요양원)","","","",""
"노원실버센터","A8937","(노인의료복지시설) 노인요양시설","노인의료복지시설","자치구","안정민","1135000000","노원구","서울특별시 노원구 동일로 1097 (공릉동)","","","",""
"늘사랑실버센터","A9258","(노인의료복지시설) 노인요양시설","노인의료복지시설","자치구","김용길","1135000000","노원구","서울특별시 노원구 한글비석로 444, 5층, 4층 1-2호 (상계동)","","","",""
"태릉지역아동센터","B0903","(아동복지시설) 지역아동센터","아동복지시설","자치구","표사라","1135000000","노원구","서울특별시 노원구 동일로174길 9-4, 2층 (공릉동)","","","",""
"성모자애드림힐","B1056","(아동복지시설) 아동양육시설","아동복지시설","자치구","노은희","1135000000","노원구","서울특별시 노원구 덕릉로70가길 45 (상계동)","","","",""
"좋은나무지역아동센터","B3028","(아동복지시설) 지역아동센터","아동복지시설","자치구","신인성","1135000000","노원구","서울특별시 노원구 동일로245길 162 (상계동)","","","",""
"마음터지역아동센터","B3138","(아동복지시설) 지역아동센터","아동복지시설","자치구","박경숙","1135000000","노원구","서울특별시 노원구 덕릉로 849, 3층 (상계동)","","","",""
"샛별지역아동센터","B3169","(아동복지시설) 지역아동센터","아동복지시설","자치구","송영숙","1135000000","노원구","서울특별시 노원구 동일로237길 92, 301호 (상계동)","","","",""
"금빛지역아동센터","B3634","(아동복지시설) 지역아동센터","아동복지시설","자치구","오양순","1135000000","노원구","서울특별시 노원구 상계로26길 20 (상계동)","","","",""
"열림지역아동센터","B3683","(아동복지시설) 지역아동센터","아동복지시설","자치구","김진천","1135000000","노원구","서울특별시 노원구 동일로231다길 6 (상계동)","","","",""
"신나는지역아동센터","B8665","(아동복지시설) 지역아동센터","아동복지시설","자치구","엄창식","1135000000","노원구","서울특별시 노원구 중계로14가길 29, 3층 (중계동)","","","",""
"구립상계1동지역아동센터","B9515","(아동복지시설) 지역아동센터","아동복지시설","자치구","조호미나","1135000000","노원구","서울특별시 노원구 동일로 1697 (상계동)","","","",""
"구립상계3.4동지역아동센터","B9557","(아동복지시설) 지역아동센터","아동복지시설","자치구","서경하","1135000000","노원구","서울특별시 노원구 덕릉로 859, 3층 (상계동)","","","",""
"구립월계지역아동센터","B9569","(아동복지시설) 지역아동센터","아동복지시설","자치구","유아랑","1135000000","노원구","서울특별시 노원구 초안산로1길 51, 2층 (월계동, 월계종합사회복지관)","","","",""
"구립상계숲속지역아동센터","B9573","(아동복지시설) 지역아동센터","아동복지시설","자치구","강지현","1135000000","노원구","서울특별시 노원구 동일로227길 106 (상계동)","","","",""
"구립공릉지역아동센터","B9578","(아동복지시설) 지역아동센터","아동복지시설","자치구","이지연","1135000000","노원구","서울특별시 노원구 동일로 1127, 3층 (공릉동, 공릉종합사회복지관)","","","",""
"구립초안산숲속지역아동센터","B9654","(아동복지시설) 지역아동센터","아동복지시설","자치구","김은주","1135000000","노원구","서울특별시 노원구 덕릉로60길 199 (월계동)","","","",""
"구립공릉행복지역아동센터","B9999","(아동복지시설) 지역아동센터","아동복지시설","자치구","임리아","1135000000","노원구","서울특별시 노원구 동일로179길 22, 3층 (공릉동, 공릉행복발전소)","","","",""
"시립노원노인종합복지관 방과후교실","C0000008521","(기타기관) 영유아보육시설(기타)","영유아보육시설(기타)","자치구","김현숙","1135000000","노원구","서울특별시 노원구 노원로16길 2 (하계동)","","","",""
"평화종합사회복지관 방과후교실","C0000008529","(기타기관) 영유아보육시설(기타)","영유아보육시설(기타)","자치구","단정은","1135000000","노원구","서울특별시 노원구 중계동 514-3 ","","","",""
"서울용원초등학교 방과후교실","C0000008580","(기타기관) 영유아보육시설(기타)","영유아보육시설(기타)","자치구","김진의","1135000000","노원구","서울특별시 노원구 섬밭로 144 (공릉동)","","","",""
"서울상계초등학교 방과후교실","C0000008581","(기타기관) 영유아보육시설(기타)","영유아보육시설(기타)","자치구","남궁영수","1135000000","노원구","서울특별시 노원구 상계로9길 39 (상계동)","","","",""
"중계종합사회복지관 방과후교실","C0000008582","(기타기관) 영유아보육시설(기타)","영유아보육시설(기타)","자치구","유미선","1135000000","노원구","서울특별시 노원구 중계동 358 ","","","",""
"월계복지관내 방과후교실","C0000008602","(기타기관) 영유아보육시설(기타)","영유아보육시설(기타)","자치구","최선희","1135000000","노원구","서울특별시 노원구 월계로49길 5 (월계동)","","","",""
"월계종합사회복지관 방과후교실","C0000008604","(기타기관) 영유아보육시설(기타)","영유아보육시설(기타)","자치구","신영자","1135000000","노원구","서울특별시 노원구 월계로49길 5 (월계동)","","","",""
"노원1종합사회복지관 방과후교실","C0000008605","(기타기관) 영유아보육시설(기타)","영유아보육시설(기타)","자치구","양은선","1135000000","노원구","서울특별시 노원구 월계로 372 (월계동)","","","",""
"공릉방과후학교","C0000008620","(기타기관) 영유아보육시설(기타)","영유아보육시설(기타)","자치구","표정윤","1135000000","노원구","서울특별시 노원구 공릉동 708 ","","","",""
"상계종합사회복지관 방과후교실","C0000008633","(기타기관) 영유아보육시설(기타)","영유아보육시설(기타)","자치구","정경숙","1135000000","노원구","서울특별시 노원구 덕릉로115나길 25 (상계동)","","","",""
"서울연지초등학교 방과후교실","C0000008643","(기타기관) 영유아보육시설(기타)","영유아보육시설(기타)","자치구","김종만","1135000000","노원구","서울특별시 노원구 월계로55길 48 (월계동)","","","",""
"마들사회복지관방과후교실","C0000008644","(기타기관) 영유아보육시설(기타)","영유아보육시설(기타)","자치구","권귀숙","1135000000","노원구","서울특별시 노원구 동일로210길 22 (중계동)","","","",""
"품속방과후교실","C0000008646","(기타기관) 영유아보육시설(기타)","영유아보육시설(기타)","자치구","조성진","1135000000","노원구","서울특별시 노원구 동일로230가길 16 (상계동)","","","",""
"선의케어센터","C0000008666","(노인의료복지시설) 노인요양시설","노인의료복지시설","자치구","강석주","1135000000","노원구","서울특별시 노원구 동일로 1419 (상계동)","","","",""
"월계가정복지센터 방과후교실","C0000008682","(기타기관) 영유아보육시설(기타)","영유아보육시설(기타)","자치구","윤선희","1135000000","노원구","서울특별시 성북구 돌곶이로8나길 4 (석관동)","","","",""
"아름다운 작업활동센터","C0000008704","(장애인직업재활시설) 장애인+직업적응훈련시설","장애인직업재활시설","자치구","이상춘","1135000000","노원구","서울특별시 노원구 공릉동 480 ","","","",""
"노원구 보육정보센터","C0000008760","(아동복지시설) 지역아동센터","아동복지시설","자치구","김승옥","1135000000","노원구","서울특별시 노원구 상계동 205 ","","","",""
"대린원","C0001","(장애인거주시설) 장애유형별거주시설","장애인거주시설","자치구","임은희","1135000000","노원구","서울특별시 노원구 동일로248길 30 (상계동)","","","",""
"동천의집","C0003","(장애인거주시설) 장애유형별거주시설","장애인거주시설","자치구","김영문","1135000000","노원구","서울특별시 노원구 노원로18길 41 (하계동, 동천의집)","","","",""
"늘편한집","C0029","(장애인거주시설) 중증장애인거주시설","장애인거주시설","자치구","안성균","1135000000","노원구","서울특별시 노원구 중계로 163 (중계동)","","","",""
"월계우리가족상담소","C0101394958","(여성복지시설) 성폭력피해상담소","성폭력피해보호시설","자치구","김연정","1135000000","노원구","서울특별시 노원구 월계로49길 5 (월계동,월계종합사회복지관 내 2층)","","","",""
"가정치유상담소","C0101394988","(여성복지시설) 성폭력피해상담소","성폭력피해보호시설","자치구","조월자","1135000000","노원구","서울특별시 노원구 동일로 1554 (상계동,다래빌딩 502호)","","","",""
"주사랑노인종합복지센터","C0152169289","(노인의료복지시설) 노인요양공동생활가정","노인의료복지시설","자치구","박신광","1135000000","노원구","서울특별시 노원구 광운로 48, 2층 (월계동)","","","",""
"하계장애인주간활동센터","C0187569961","(장애인지역사회재활시설) 장애인주간이용시설","장애인지역사회재활시설","자치구","이상복","1135000000","노원구","서울특별시 노원구 노원로16길 15 (하계동, 중계9단지주공영구임대아파트)","","","",""
"베데스다의 집","C0252","(장애인거주시설) 장애인공동생활가정","장애인거주시설","자치구","정선근","1135000000","노원구","서울특별시 노원구 중계로8길 39, 211동 1층 10호 (중계동, 현대그린아파트)","","","",""
"베데스다장애인주간보호센터","C0253","(장애인지역사회재활시설) 장애인주간이용시설","장애인지역사회재활시설","자치구","심희남","1135000000","노원구","서울특별시 노원구 공릉로58마길 27 (하계동,나눔아트센터2층)","","","",""
"(주)가온사랑재가복지센터","C0290636665","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","강용구","1135000000","노원구","서울특별시 노원구 동일로 1058, 3층 (공릉동)","","","",""
"수남플러스재가센터","C0291464369","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","이경희","1135000000","노원구","서울특별시 노원구 한글비석로24라길 78, 1층 (상계동)","","","",""
"수남 플러스 재가센터","C0292711521","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","이경희","1135000000","노원구","서울특별시 노원구 한글비석로24라길 78, 1층 (상계동)","","","",""
"수남 플러스 재가센터","C0293679526","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","이경희","1135000000","노원구","서울특별시 노원구 한글비석로24라길 78, 1층 (상계동)","","","",""
"수남 플러스 재가센터","C0293739935","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","이경희","1135000000","노원구","서울특별시 노원구 한글비석로24라길 78, 1층 (상계동)","","","",""
"7월1일 재가복지센터","C0294575381","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","한근혁","1135000000","노원구","서울특별시 노원구 동일로 986, 101동 B113-1호 (공릉동, 노원 프레미어스 엠코)","","","",""
"수남 플러스 재가센터","C0294705123","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","이경희","1135000000","노원구","서울특별시 노원구 한글비석로24라길 78, 1층 (상계동)","","","",""
"한마음방문요양센터","C0297075184","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","모종일","1135000000","노원구","서울특별시 노원구 덕릉로 804, 4층 403호 (상계동)","","","",""
"당고개 데이케어센터","C0297770805","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","백서현","1135000000","노원구","서울특별시 노원구 덕릉로126길 11, 2,4층 (상계동, 당고개 빌딩)","","","",""
"무지개방문요양센터","C0297770813","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","안영순","1135000000","노원구","서울특별시 노원구 마들로 127, 상가동 1층 4호 (월계동)","","","",""
"시민재가센터","C0297770828","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","신승득","1135000000","노원구","서울특별시 노원구 공릉로 325-7, 2층 (하계동)","","","",""
"가가호호A+방문요양센터","C0297783378","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","신미경","1135000000","노원구","서울특별시 노원구 동일로241길 53, 상가동 2층 217호 (상계동)","","","",""
"날개재가복지센터","C0297799109","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","계성일","1135000000","노원구","서울특별시 노원구 동일로 1379, 3층 303호 (상계동, 다모아빌딩)","","","",""
"노원민들레재가복지센터","C0297799130","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","김은화","1135000000","노원구","서울특별시 노원구 공릉로59길 28, B1층 12호 (하계동, 미성아파트)","","","",""
"노원민들레재가복지센터","C0297811775","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","김은화","1135000000","노원구","서울특별시 노원구 공릉로59길 28, B1층 12호 (하계동, 미성상가)","","","",""
"현대메디컬","C0297824222","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","최광모","1135000000","노원구","서울특별시 노원구 중계로14길 10, 203호 (중계동)","","","",""
"행복나눔방문요양센터","C0297824259","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","김수현","1135000000","노원구","서울특별시 노원구 덕릉로 804, 208호 (상계동, 대림프라자)","","","",""
"이레효재가복지센터","C0297824281","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","최양","1135000000","노원구","서울특별시 노원구 동일로242길 95, 204호 (상계동, 수락현대아파트 상가)","","","",""
"사랑재가복지센터","C0297850615","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","심상금","1135000000","노원구","서울특별시 노원구 덕릉로126길 35 (상계동)","","","",""
"쉰들러 긴급이동 사회복지센터","C0298531090","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","지요한","1135000000","노원구","서울특별시 노원구 중계로6나길 12-10 (중계동)","","","",""
"동천","C0362","(장애인직업재활시설) 장애인+근로사업장","장애인직업재활시설","자치구","성선경","1135000000","노원구","서울특별시 노원구 노원로18길 41 (하계동)","","","",""
"다모인","C0373","(장애인직업재활시설) 장애인+보호작업장","장애인직업재활시설","자치구","유기학","1135000000","노원구","서울특별시 노원구 노원로 311, 3층 1, 4호 (중계동, 중계지식산업센터)","","","",""
"서울시립북부장애인종합복지관","C0454","(장애인지역사회재활시설) 장애인복지관","장애인지역사회재활시설","자치구","신연화","1135000000","노원구","서울특별시 노원구 덕릉로70가길 92 (상계동)","","","",""
"더 홈","C0507","(장애인거주시설) 장애유형별거주시설","장애인거주시설","자치구","허곤","1135000000","노원구","서울특별시 노원구 중계로 163 (중계동)","","","",""
"보담터","C0587","(장애인직업재활시설) 장애인+보호작업장","장애인직업재활시설","자치구","엄광현","1135000000","노원구","서울특별시 노원구 중계로 163 (중계동)","","","",""
"은헤재가복지센터","C0606768601","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","김나경","1135000000","노원구","서울특별시 노원구 공릉로42길 21, 102호 (공릉동)","","","",""
"좋은아침재가복지센터 노원점","C0607518011","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","한수연","1135000000","노원구","서울특별시 노원구 노원로 331, 301동 108호 (중계동, 시영3단지목련아파트 상가)","","","",""
"송연재가방문요양센터","C0608048389","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","박태숙","1135000000","노원구","서울특별시 노원구 노원로16길 82, 1층 (하계동, 주공9단지 종합2상가 )","","","",""
"노원효사랑 재가복지센터","C0608070941","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","김정곤","1135000000","노원구","서울특별시 노원구 동일로182길 47-7, 101호 (공릉동)","","","",""
"모니카 복지용구센터","C0608070950","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","이진석","1135000000","노원구","서울특별시 노원구 한글비석로 396, 108동 211호 (상계동, 벽산아파트)","","","",""
"한세데이케어센터","C0608070964","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","이기숙","1135000000","노원구","서울특별시 노원구 덕릉로126다길 7-7, 1층 (상계동)","","","",""
"주맘방문요양센터","C0608070976","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","박진아","1135000000","노원구","서울특별시 노원구 한글비석로 422, 5층 (상계동)","","","",""
"사랑과섬김요양원","C0608070989","(노인의료복지시설) 노인요양공동생활가정","노인의료복지시설","자치구","박진아","1135000000","노원구","서울특별시 노원구 한글비석로 422, 5층 (상계동)","","","",""
"돌봄간호요양원1","C0608071026","(노인의료복지시설) 노인요양공동생활가정","노인의료복지시설","자치구","신용연","1135000000","노원구","서울특별시 노원구 동일로 1550, 6층 601호 (상계동)","","","",""
"돌봄간호요양원2","C0608071126","(노인의료복지시설) 노인요양공동생활가정","노인의료복지시설","자치구","이정희","1135000000","노원구","서울특별시 노원구 동일로 1550, 6층 601호 (상계동)","","","",""
"해담방문요양재가센터","C0608087748","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","박영란","1135000000","노원구","서울특별시 노원구 공릉로34길 62, 1층 103호 (공릉동, 태강아파트 제상가동)","","","",""
"노블레스요양원","C0608087860","(노인의료복지시설) 노인요양공동생활가정","노인의료복지시설","자치구","김나경","1135000000","노원구","서울특별시 노원구 노원로 479, 2층 (상계동, 대광빌딩)","","","",""
"구립 수락노인종합복지관","C0608088053","(노인여가복지시설) 노인복지관","노인여가복지시설","자치구","장인수","1135000000","노원구","서울특별시 노원구 수락산로 214 (상계동)","","","",""
"가나재가복지센터","C0608098433","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","이경란","1135000000","노원구","서울특별시 노원구 상계로12길 35-5, 1층 (상계동)","","","",""
"아름드리꿈터","C0608104826","(장애인지역사회재활시설) 장애인주간이용시설","장애인지역사회재활시설","자치구","임성희","1135000000","노원구","서울특별시 노원구 한글비석로 432 (상계동, 2층 및 4층 일부)","","","",""
"건강과행복 방문요양센터","C0608129363","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","형광우","1135000000","노원구","서울특별시 노원구 한글비석로48길 6, 상가동 111호,112호 (상계동, 한신아파트)","","","",""
"노원어르신휴센터","C0608134483","(노인여가복지시설) 노인휴양소","노인여가복지시설","자치구","강봉심","1135000000","노원구","서울특별시 노원구 동일로 1456, 711동동 1207호 (상계동, 상계주공아파트)","","","",""
"(A)정원재가복지센터","C0608140999","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","김영숙","1135000000","노원구","서울특별시 노원구 상계로 193-14, 2층 205호 (상계동, 상계대림아파트)","","","",""
"가연 재가복지센터","C0608141099","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","엄정연","1135000000","노원구","서울특별시 노원구 상계로12길 35-9 (상계동)","","","",""
"순수재가복지센터","C0608166942","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","김판수","1135000000","노원구","서울특별시 노원구 동일로187길 18, 1층 102호 (공릉동)","","","",""
"가나방문요양센터","C0608180102","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","선우준","1135000000","노원구","서울특별시 노원구 동일로232길 27, 102호 (상계동)","","","",""
"스마일시니어참사랑재가복지센터","C0608180107","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","정성한","1135000000","노원구","서울특별시 노원구 상계로23다길 47-3, 101호 (상계동)","","","",""
"공릉태릉우성아이휴센터","C0608194751","(다함께돌봄센터) 다함께돌봄센터","다함께돌봄센터","자치구","김아람","1135000000","노원구","서울특별시 노원구 노원로 29, 1동 1층 105호 (공릉동, 우성아파트)","","","",""
"행복플러스재가센터","C0608194807","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","지용운","1135000000","노원구","서울특별시 노원구 공릉로46길 28, B층 105호 (공릉동, 삼익아파트상가)","","","",""
"참사랑재가복지센터","C0608194834","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","김동용","1135000000","노원구","","","","",""
" 가나방문요양","C0608207128","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","구상회","1135000000","노원구","서울특별시 노원구 초안산로 7, 205호 (월계동, 월계2단지주공아파트)","","","",""
"노원구정신건강복지센터","C0608275899","(정신건강증진기관) 정신건강복지+지역센터","정신건강증진기관","자치구","이규영","1135000000","노원구","서울특별시 노원구 노해로 455 (상계동, 인산빌딩 5층)","","","",""
"진방문요양센터","C0608335898","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","심진","1135000000","노원구","서울특별시 노원구 상계로23길 40, 1층 좌측호 (상계동)","","","",""
"행복동행 방문요양센터","C0608335933","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","전남욱","1135000000","노원구","서울특별시 노원구 동일로245가길 41, 2층 201호 (상계동, 은빛아파트 상가동)","","","",""
"가나안재가복지센터","C0608337186","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","김희숙","1135000000","노원구","서울특별시 노원구 덕릉로 777, 1층 (상계동)","","","",""
"행복동행 방문요양센터","C0608337193","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","전남욱","1135000000","노원구","서울특별시 노원구 한글비석로44길 13, B01호 (상계동, 우측 일부)","","","",""
"노원마을재가복지센터","C0608338356","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","허경화","1135000000","노원구","서울특별시 노원구 노원로 540, 1층 111호 (상계동, 상계주공아파트9단지종합상가)","","","",""
"나무그늘재가복지센터","C0608365982","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","한은주","1135000000","노원구","서울특별시 노원구 동일로 1279, B103호 (중계동, 중계그린아파트 B 상가)","","","",""
"사랑나눔재가복지센터","C0608366059","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","정남기","1135000000","노원구","서울특별시 노원구 한글비석로46길 52, 1층 103.104호 (상계동)","","","",""
"더좋은 방문요양센터","C0608366069","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","양순모","1135000000","노원구","서울특별시 노원구 공릉로20길 22-1, B01호 (공릉동)","","","",""
"더즐거운재가복지센터","C0608366076","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","김태미","1135000000","노원구","서울특별시 노원구 동일로174길 27, 2층 (공릉동)","","","",""
"태릉참실버케어","C0608411919","(노인의료복지시설) 노인요양시설","노인의료복지시설","자치구","조병환","1135000000","노원구","서울특별시 노원구 화랑로51가길 11-8 (공릉동, 태릉참실버케어)","","","",""
"노원실버 방문요양센터","C0608411929","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","최광임","1135000000","노원구","서울특별시 노원구 한글비석로31길 22, 1층 (상계동)","","","",""
