"시설명","시설코드","시설종류명(시설유형)","시설종류상세명(시설종류)","자치구(시)구분","시군구코드","시군구명","시설주소","전화번호","우편번호"
"마하나임데이케어센터","A0494","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1129000000","성북구","서울특별시 성북구 성북로24길 4 (성북동)","",""
"강남노인복지센터","A0570","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1168000000","강남구","서울특별시 강남구 테헤란로52길 6, 906호 (역삼동,테헤란오피스빌딩)","",""
"한국시니어협회노인복지센터","A0681","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1159000000","동작구","서울특별시 동작구 상도로36길 31, 2층 (상도동)","",""
"목동종합사회복지관병설목동데이케어센터","A0707","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1147000000","양천구","서울특별시 양천구 목동중앙북로8길 104 (목동)","",""
"서울시 서대문구 재가노인복지기관","A0738","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1141000000","서대문구","서울특별시 서대문구 경기대로9길 62 (충정로3가)","",""
"서울시용산구재가노인복지기관","A0773","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1117000000","용산구","서울특별시 용산구 한강대로 69, 102동 26층 2611호 (한강로2가, 용산푸르지오써밋)","",""
"길음데이케어센터","A0789","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1129000000","성북구","서울특별시 성북구 삼양로2길 55, 2층 (길음동)","",""
"남산실버복지센터","A0839","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1114000000","중구","서울특별시 중구 동호로5길 189 (신당동)","",""
"행복창조노인복지센터","A0877","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1138000000","은평구","서울특별시 은평구 응암로21길 10 (응암동)","",""
"정수데이케어센터","A1000","(재가노인복지시설) 재가노인복지시설","재가노인복지시설","자치구","1120000000","성동구","서울특별시 성동구 한림말길 16-5 (옥수동)","",""
