연번,시설명,시설종류,시설유형,소재지,입소정원,시설운영,설치일자,전화번호,데이터기준일자
1,인천신생요양원,노인의료복지시설,노인요양시설,인천광역시 서구 드림로 284-4 (백석동),78,법인,2008-05-23,032-566-0580,2026-06-10
2,인천천사요양원,노인의료복지시설,노인요양시설,인천광역시 서구 드림로 284-6 (백석동),78,법인,2008-05-23,032-773-1400,2026-06-10
3,내리요양원,노인의료복지시설,노인요양시설,인천광역시 서구 봉수대로1394번길 12 (왕길동),90,법인,2008-05-23,032-566-6651,2026-06-10
4,낙원요양원,노인의료복지시설,노인요양시설,인천광역시 서구 완정로10번길 6-7 (마전동),90,개인,2009-04-03,032-562-3497,2026-06-10
5,서천노인요양원,노인의료복지시설,노인요양시설,인천광역시 서구 심곡로132번길 22 (심곡동),49,법인,2009-09-09,032-562-2116,2026-06-10
6,인천 부모섬김요양원,노인의료복지시설,노인요양시설,"인천광역시 서구 검단로 504, 3,4,5층 (마전동, 세진빌딩)",69,개인,2011-04-21,032-216-8253,2026-06-10
7,성모요양원,노인의료복지시설,노인요양시설,인천광역시 서구 심곡로100번길 31 (심곡동),48,법인,2015-01-15,032-280-1900,2026-06-10
8,참사랑요양원,노인의료복지시설,노인요양시설,"인천광역시 서구 검단로 505, 4층 403~405호 (마전동, 이지프라자)",28,개인,2015-10-14,032-568-2011,2026-06-10
9,연희요양원,노인의료복지시설,노인요양시설,"인천광역시 서구 탁옥로 88, 3~7층 (심곡동)",77,개인,2015-11-04,032-562-4601,2026-06-10
10,지구촌요양원,노인의료복지시설,노인요양시설,"인천광역시 서구 검단로 505, 401-402호 (마전동, 이지프라자)",27,개인,2016-01-08,032-561-0961,2026-06-10
11,해피실버요양원,노인의료복지시설,노인요양시설,"인천광역시 서구 검단로502번길 18, 2층 (마전동, 제일빌딩)",36,개인,2016-04-01,032-564-6327,2026-06-10
12,미래복지요양센터,노인의료복지시설,노인요양시설,인천광역시 서구 드림로 227 (백석동),240,법인,2016-08-09,032-540-8800,2026-06-10
13,효담요양원,노인의료복지시설,노인요양시설,"인천광역시 서구 완정로 163, A동 11층 (왕길동, 트리플타워)",29,개인,2017-03-24,032-561-7477,2026-06-10
14,도란도란요양원,노인의료복지시설,노인요양시설,"인천광역시 서구 검단로 531, 2,3,4층 (마전동, 경안프라자)",29,개인,2017-06-01,032-569-3399,2026-06-10
15,반딧불노인요양원,노인의료복지시설,노인요양시설,인천광역시 서구 가정로 186-3 (석남동),45,개인,2017-06-13,032-579-9540,2026-06-10
16,가현요양원,노인의료복지시설,노인요양시설,"인천광역시 서구 완정로 19, 7층 (마전동, 검단무광프라자)",25,개인,2018-05-01,032-565-5567,2026-06-10
17,주은요양원,노인의료복지시설,노인요양시설,"인천광역시 서구 신진말로 26, 3층 301호~303호 (가좌동)",26,개인,2018-06-21,032-575-5720,2026-06-10
18,국제메디칼요양원,노인의료복지시설,노인요양시설,"인천광역시 서구 탁옥로 104, 1,3,4층 (심곡동, 다빈치프라자)",45,개인,2018-07-01,032-567-6788,2026-06-10
19,두드림요양전문센터,노인의료복지시설,노인요양시설,"인천광역시 서구 봉오재3로 116, 309호, 401호 (가정동, SD프라자)",29,개인,2019-02-22,032-568-3388,2026-06-10
20,꽃마루요양원,노인의료복지시설,노인요양시설,인천광역시 서구 봉화로223번안길 5 (금곡동),34,개인,2019-09-06,032-562-7272,2026-06-10
21,아름다운 요양원,노인의료복지시설,노인요양시설,"인천광역시 서구 가정로 230, 1~5층 (석남동)",47,개인,2019-10-01,032-577-6000,2026-06-10
22,다온실버케어요양원,노인의료복지시설,노인요양시설,"인천광역시 서구 고산후로 97, 6~8층 302호 (당하동, 희성프라자)",82,개인,2019-11-27,032-565-9923,2026-06-10
23,해피섬김요양원,노인의료복지시설,노인요양시설,"인천광역시 서구 검단로502번길 18, 6층 (마전동, 제일프라자)",24,개인,2020-03-30,032-272-7119,2026-06-10
24,참조은요양원,노인의료복지시설,노인요양시설,"인천광역시 서구 신진말로 39, 201호 (가좌동, 건지빌딩)",21,개인,2020-05-01,032-575-8875,2026-06-10
25,시온의빛 요양원,노인의료복지시설,노인요양시설,인천광역시 서구 원당대로820번1길 13 (당하동),25,개인,2020-06-01,032-561-1127,2026-06-10
26,에덴사랑의집,노인의료복지시설,노인요양시설,"인천광역시 서구 고산후로95번길 10, 301, 302호 (당하동, 뉴시티프라자)",29,개인,2020-06-01,032-563-0938,2026-06-10
27,길요양원,노인의료복지시설,노인요양시설,인천광역시 서구 고산후로 190 (원당동),20,개인,2020-07-01,032-566-3315,2026-06-10
28,검단햇살요양원,노인의료복지시설,노인요양시설,"인천광역시 서구 원당대로 853, 7층 (원당동, 삼정프라자)",29,개인,2020-08-01,032-569-3883,2026-06-10
29,검단메디컬요양원,노인의료복지시설,노인요양시설,"인천광역시 서구 완정로 179, 7층 (왕길동, 제이원검단메디컬프라자)",29,개인,2020-09-01,032-568-9992,2026-06-10
30,간호사랑요양원,노인의료복지시설,노인요양시설,"인천광역시 서구 탁옥로 37, 7~9층 (심곡동, 우리타워)",47,개인,2020-12-01,032-525-2838,2026-06-10
