연번,군구,기관명,개설일,시설구분,주소
1,강화군,계명원,1951-11-20,아동양육시설,강화군 강화남로 518번길6-41(양도면)
2,중구,디차힐,1965-09-30,아동양육시설,중구 마장포로 29번길4(중산동)
3,동구,보라매보육원,1951-03-01,아동양육시설,동구 화도진로 126(화수동)
4,미추홀구,인천보육원,1954-10-15,아동양육시설,미추홀구 매소홀로446번길50(학익동)
5,미추홀구,해성보육원,1946-04-30,아동양육시설,미추홀구 인하로91번길15(용현동)
6,미추홀구,향진원,1957-04-23,아동양육시설,미추홀구 석정로 329번길32(도화동)
7,부평구,신명보육원,1952-05-25,아동양육시설,부평구 경인로 749(십정동)
8,부평구,파인트리홈,1953-09-06,아동양육시설,부평구 일신로 29
9,부평구,해피홈보육원,2007-10-18,아동양육시설,부평구 경인로898(부평동)
10,중구,인천보라매아동센터,2007-04-11,아동일시보호시설,중구 백운로528번길57(운북동)
11,중구,너랑나랑의 집,2000-02-21,공동생활가정,중구 참외전로84(전동)
12,중구,세리아,2010-03-16,공동생활가정,중구 영종순환로 169번길 64-1 (중산동)
13,미추홀구,미추홀구신나는그룹홈,2005-11-23,공동생활가정,미추홀구 학익소로61번길132  25동 101호(학익동.신동아@)
14,미추홀구,스위트홈,2008-07-29,공동생활가정,미추홀구 인주대로 326-1(주안동)
15,연수구,해피드림,2018-07-16,공동생활가정,연수구 청룡로42번길 24(옥련동)
16,남동구,남동아동,2004-12-28,공동생활가정,"남동구 독곡로 16번길 22-7, 301,302,401(서창동,독곡홈타운)"
17,남동구,희망아동,2007-11-14,공동생활가정,남동구석산로 240번길 12
18,부평구,시정의집,2008-03-11,공동생활가정,부평구 마장로269번길91-61(산곡동)
19,부평구,엘피스,2010-09-13,공동생활가정,부평구 부흥로386번길35 (부개동)
20,계양구,계양아동청소년그룹홈,2019-12-02,공동생활가정,"계양구 아나지로 199번길 505동 802호(효성동, 뉴서울아파트)"
21,서구,행복한 집,2006-11-23,공동생활가정,"서구 완정로208, 104동 104호(금곡동, 검단우방아이쉘)"
22,서구,꿈이있는 집,2009-04-29,공동생활가정,"서구 가현로 168, 102동 1403호(마전동, 영진아파트)"
23,서구,SY엔터테인먼트,2013-06-27,공동생활가정,서구 완정로34번길47 102동 701호(마전동 현대아파트)
24,서구,예람,2015-07-29,공동생활가정,"서구 고산후로 161번길 28, 2층(원당동)"
25,서구,아너클래스,2016-10-05,공동생활가정,"서구 완정로 64번길 7, 110동 803호(마전동, 영남탑스빌아파트)"
26,서구,프렌즈,2017-06-02,공동생활가정,"서구 서곶로 818, 103동 101호(당하동, 당하탑스빌아파트)"
27,서구,온유,2022-05-13,공동생활가정,"서구 서달로 163번길 6, 301동 409호(가정동, 한국아파트)"
28,미추홀구,늘해랑,2022-12-01,학대피해아동쉼터,비공개
29,남동구,레인보우,2021-09-27,학대피해아동쉼터,비공개
30,부평구,꿈나래,2022-11-17,학대피해아동쉼터,비공개
31,계양구,홀트미추홀,2016-01-20,학대피해아동쉼터,비공개
32,계양구,도토리,2023-07-28,학대피해아동쉼터,비공개
33,서구,서로이음,2021-12-20,학대피해아동쉼터,비공개
34,서구,서동이,2023-12-29,학대피해아동쉼터,비공개
35,부평구,어린이재단 인천지역본부,1981-10-15,결연기관,"부평구 부흥로294번길 4, 추인타워 8층"
36,부평구,인천가정위탁지원센터,2003-03-12,인천가정위탁지원센터,"부평구 부흥로294번길 4, 추인타워 8층"
37,남동구,인천자립지원전담기관,2022-05-06,자립지원전담기관,남동구 용천로208 601호(간석동)
38,미추홀구,솔샘나우리아동복지센터,2008-01-18,아동복지종합센터,미추홀구 인하로91번길15(용현동)
39,미추홀구,푸른마을아동복지센터,2008-01-02,아동복지종합센터,미추홀구 매소홀로446번길50(학익동)
40,미추홀구,누리마루아동복지센터,2010-09-01,아동복지종합센터,미추홀구 석정로 329번길32(도화동)
41,남동구,남동구아동복지센터,2008-08-01,아동복지종합센터,"남동구 용천로 208, 2층(간석동)"
42,미추홀구,인천광역시아동보호전문기관,2000-10-14,아동보호전문기관,미추홀구 경원대로 899(주안동)
43,계양구,인천북부아동보호전문기관,2004-05-06,아동보호전문기관,"계양구 경명대로 1074, 5층"
44,남동구,인천남부아동보호전문기관,2015-04-01,아동보호전문기관,남동구 남동대로 904(간석동)
45,동구,인천중부아동보호전문기관,2024-02-28,아동보호전문기관,동구 송화로 52번길 14-3 
46,서구,인천서부아동보호전문기관,2020-08-28,아동보호전문기관,서구 완정로 153
47,서구,인천검암아동보호전문기관,2024-11-01,아동보호전문기관,"서구 승학로 528, 4층"
48,남동구,인천광역시아동복지협회,1981-06-19,아동복지단체,남동구 용천로208 601호(간석동)
