시군명,의료기관명,종류,병상수,주소
목포시,의료법인해민의료재단 세안종합병원,종합병원,367,"전라남도 목포시 고하대로 795-2 (연산동,(연산동))"
목포시,의료법인목포구암의료재단 목포중앙병원,종합병원,342,전라남도 목포시 영산로 627 (석현동)
목포시,목포기독병원,종합병원,357,전라남도 목포시 백년대로 303 (상동)
목포시,목포한국병원,종합병원,576,전라남도 목포시 영산로 483 (상동)
목포시,목포시의료원,종합병원,299,"전라남도 목포시 이로로 18 (용해동, (용해동))"
여수시,여천전남병원,종합병원,299,"전라남도 여수시 무선로 95 (선원동, (선원동))"
여수시,의료법인한마음의료재단 여수제일병원,종합병원,399,"전라남도 여수시 쌍봉로 70 (학동, (학동))"
여수시,여수전남병원,종합병원,283,"전라남도 여수시 좌수영로 49 (광무동, (광무동))"
순천시,의료법인청언의료재단 순천제일병원,종합병원,200,전라남도 순천시 기적의도서관1길 3 (조례동)
순천시,의료법인한국의료재단 순천한국병원,종합병원,242,전라남도 순천시 우명길 42 (연향동)
순천시,성가롤로병원,종합병원,555,전라남도 순천시 순광로 221 (조례동)
순천시,전라남도 순천의료원,종합병원,267,전라남도 순천시 서문성터길 2 (매곡동)
순천시,순천중앙병원,종합병원,200,전라남도 순천시 장명로 5 (장천동)
순천시,근로복지공단 순천병원,종합병원,266,"전라남도 순천시 조례1길 24 (조례동, (조례동))"
나주시,빛가람종합병원,종합병원,200,전라남도 나주시 정보화길 49-0 (빛가람동)
나주시,나주종합병원,종합병원,178,"전라남도 나주시 영산로 5419 (성북동,나주종합병원)"
광양시,의료법인현경의료재단 광양서울병원,종합병원,210,전라남도 광양시 진등길 93 (마동)
광양시,광양사랑병원,종합병원,159,"전라남도 광양시 공영로 71 (중동, (중동))"
고흥군,의료법인영성의료재단 고흥종합병원,종합병원,260,전라남도 고흥군 고흥읍 고흥로 1935
화순군,화순전남대학교병원,종합병원,655,전라남도 화순군 화순읍 서양로 322
장흥군,의료법인 우범의료재단 장흥종합병원,종합병원,182,전라남도 장흥군 장흥읍 흥성로 74 (74)
해남군,해남우리종합병원,종합병원,448,전라남도 해남군 옥천면 해남로 597
해남군,의료법인행촌의료재단 해남종합병원,종합병원,299,전라남도 해남군 해남읍 해남로 45
무안군,의료법인대송의료재단 무안병원,종합병원,272,전라남도 무안군 무안읍 몽탄로 65
영광군,의료법인거명의료재단 영광기독병원,종합병원,206,전라남도 영광군 영광읍 신남로 265
영광군,영광종합병원,종합병원,290,전라남도 영광군 영광읍 와룡로 3
목포시,솔튼병원,병원,128,"전라남도 목포시 고하대로 724-0 (산정동,솔튼병원)"
목포시,목포신세계병원,병원,84,"전라남도 목포시 백년대로 258-0 (상동, (상동))"
목포시,마디정형외과병원,병원,40,"전라남도 목포시 백년대로 298-0, 4,5층 (상동,센트럴메디파크)"
