대상자,시설종류,형태,세부종류,유형,시설수,정원,현원,종사자수,동구시설분포현황,서구시설분포현황,남구시설분포현황,북구시설분포현황,광산구시설분포현황,데이터기준일자
노인,노인복지시설,이용,재가노인복지시설,방문요양,308,0,11647,10684,26,53,75,90,64,2025-12-31
노인,노인복지시설,이용,재가노인복지시설,주야간보호,134,6463,4201,2625,11,17,24,47,35,2025-12-31
노인,노인복지시설,이용,재가노인복지시설,방문목욕,38,0,508,495,2,15,2,1,18,2025-12-31
노인,노인복지시설,이용,재가노인복지시설,방문간호,15,0,358,139,1,5,3,2,4,2025-12-31
노인,노인복지시설,이용,재가노인복지시설,복지용구,44,0,0,48,4,7,5,22,6,2025-12-31
노인,노인복지시설,이용,재가노인복지시설,단기보호,0,0,0,0,0,0,0,0,0,2025-12-31
노인,노인복지시설,이용,노인여가복지시설 ,노인복지관,10,0,33055,245,1,2,3,2,2,2025-12-31
노인,노인복지시설,이용,노인여가복지시설 ,경로당,1398,0,46982,0,126,235,263,391,383,2025-12-31
노인,노인복지시설,이용,노인여가복지시설 ,노인교실,36,894,1767,38,4,7,5,18,2,2025-12-31
노인,노인복지시설,이용,노인보호전문기관      ,노인보호전문기관      ,1,0,0,10,0,0,1,0,0,2025-12-31
노인,노인복지시설,이용,노인일자리지원기관,노인일자리지원기관,5,0,0,30,1,1,1,1,1,2025-12-31
아동,아동복지시설,이용,아동상담소 ,아동상담소 ,1,0,0,7,0,0,1,0,0,2025-12-31
아동,아동복지시설,이용,아동전용시설,아동전용시설,1,0,0,2,0,0,0,0,1,2025-12-31
아동,아동복지시설,이용,지역아동센터 ,지역아동센터 ,297,7439,7287,831,20,45,47,115,70,2025-12-31
아동,아동복지시설,이용,다함께돌봄센터 ,다함께돌봄센터 ,38,881,702,85,3,2,7,13,13,2025-12-31
아동,아동복지시설,이용,아동보호전문기관,아동보호전문기관,2,0,0,34,0,1,0,1,0,2025-12-31
아동,아동복지시설,이용,가정위탁지원센터,가정위탁지원센터,1,0,0,10,0,1,0,0,0,2025-12-31
아동,아동복지시설,이용,자립지원전담기관,자립지원전담기관,1,0,0,13,0,1,0,0,0,2025-12-31
장애인,장애인복지시설,이용,장애인지역사회 재활시설,① 장애인복지관,7,0,1980,221,1,1,2,2,1,2025-12-31
장애인,장애인복지시설,이용,장애인지역사회 재활시설,② 장애인주간보호시설,38,736,616,208,3,8,8,9,10,2025-12-31
장애인,장애인복지시설,이용,장애인지역사회 재활시설,③ 장애인체육시설,0,0,0,6,0,0,0,0,0,2025-12-31
장애인,장애인복지시설,이용,장애인지역사회 재활시설,④ 장애인수련시설,0,0,0,0,0,0,0,0,0,2025-12-31
장애인,장애인복지시설,이용,장애인지역사회 재활시설,⑤ 장애인생활이동지원센터,1,150,150,15,0,0,1,0,0,2025-12-31
