구별,복지관명,소재지도로명주소,관장,전화번호,팩스번호,데이터기준일자
동구,빛고을종합사회복지관,광주광역시 동구 천변좌로 656(용산동),배용태,062-234-4563,062-234-4564,2020-11-04
서구,무진종합사회복지관,광주광역시 서구 천변좌로 594(광천동),이용성,062-372-2600,062-372-0528,2020-11-04
서구,쌍촌종합사회복지관,광주광역시 서구 쌍학로 47(쌍촌동),김천수,062-375-0035,062-372-0336,2020-11-04
서구,시영종합사회복지관,광주광역시 서구 화정로 87(쌍촌동),남국희,062-373-0360,062-373-0383,2020-11-04
서구,금호종합사회복지관,광주광역시 서구 운천로 32번길 23(금호동),김경필,062-376-3017,062-456-3018,2020-11-04
서구,농성빛여울채종합사회복지관,광주광역시 서구 월산로 164-3(농성동) ,김건태,062-361-2233,062-361-4567,2020-11-04
남구,인애종합사회복지관,광주광역시 남구 용대로 91(봉선동),이선미,062-676-5087,062-675-9908,2020-11-04
남구,동신대종합사회복지관,광주광역시 남구 월산로 123번길10(월산동),이숙자,062-369-1324,062-369-1320,2020-11-04
남구,양지종합사회복지관,광주광역시 남구 제중로 24-10(양림동),박래영,062-673-1919,062-673-1918,2020-11-04
북구,시민종합사회복지관,광주광역시 븍구 양일로 76-1(양산동),김가호,062-571-4100,062-571-8747,2020-11-04
북구,각화종합사회복지관,광주광역시 븍구 군왕로 207번길 6(각화동),정 진,062-265-1052,062-266-2320,2020-11-04
북구,우산종합사회복지관,광주광역시 븍구 중문로 55 (우산동),이주성,062-266-3853,062-266-3626,2020-11-04
북구,오치종합사회복지관,광주광역시 븍구 서하로 194번길 6(오치동),신창수,062-263-8200,062-267-3710,2020-11-04
북구,두암종합사회복지관,광주광역시 븍구 삼정로 7(두암동),김성기,062-266-8183,062-267-5909,2020-11-04
북구,무등종합사회복지관,광주광역시 븍구 삼정로 10(두암동),이금희,062-268-0093,062-268-0094,2020-11-04
북구,꿈나무 사회복지관,광주광역시 븍구 중문로 지하58 (우산동),주남식,062-419-8046,062-419-8048,2020-11-04
광산구,하남종합사회복지관,광주광역시 광산구 월곡산정로 12(우산동),류재중,062-951-0701,062-951-0710,2020-11-04
광산구,송광종합사회복지관,광주광역시 광산구 우산로 17(우산동),김재진,062-941-8248,062-942-5607,2020-11-04
광산구,첨단종합사회복지관,광주광역시 광산구 첨단중앙로 160(쌍암동) ,유길원,062-971-9500,062-971-9506,2020-11-04
광산구,행복드림종합사회복지관,광주광역시 광산구 용아로 379번길25-2(산정동),오미섭,062-962-9130,062-962-9150,2020-11-04
